gene_short_name,Sample1,Sample55,sample02_33,Sample33,sample02_42,Sample28,Sample29,Sample71,sample02_12,sample02_18,sample02_26,Sample13,Sample45,sample02_36,sample02_55,sample02_20,sample02_29,sample02_40,Sample62,sample02_10,X029.C,V515-06402-B4,hcc1806_S14Aligned_cufflinks
S100A1,3.66,63.08,3.22,31.13,1.05,9.62,4.04,1.9,6.2,1.37,1.43,40.47,30.51,8.24,0,10.29,0.78,3.35,27.7,22.33,10.3671,398.902,0.0714519
S100A7,2.88,0.33,5.92,1653.92,234.31,2662.95,0.21,234.83,0.36,0.13,0,0.1,1557.8,0.24,108.08,0,0.2,67,15.54,0,2.06844,3.31128,0.744019
S100A8,16.29,14.84,15.43,658.04,101.95,843.77,0.58,509.22,0.96,1.55,41.13,2.39,625.48,3.96,21.24,0.39,9.59,73.02,12.49,0,13.7748,2.90264,18.4697
SCRG1,0.1,1.81,0.92,0.29,0.25,0.68,0.26,0.15,0.42,0.13,0.17,0.29,2.99,3.74,0,0.72,0.27,0.18,0.15,6.4,9.27471,29.1603,0
SEMA3C,18.58,31.65,19.15,13.33,24.55,41.88,48.72,22.03,43.6,12.88,38.5,37.49,17.67,181.49,176.26,46.02,73.63,100.45,71.91,23.37,19.1964,67.713,22.8085
SERHL2,2.66,8.3,10.76,5.35,13.13,6.46,24.04,6.61,14.81,1.65,3.02,10.95,3.61,8.15,0.12,73.37,8.38,61.86,14.52,1.99,1.17639,4.1085,3.87654
SFRP1,0.04,1.11,0.54,3.23,0.64,6.88,0.01,0.24,0.04,0.01,0.49,21.7,7.5,8.7,0.04,2.61,0.94,1.91,28.09,0,2.6788,42.525,0.474155
SIDT1,12.63,5.92,1.11,0.99,16.08,1.61,16.58,7.55,24.19,13.75,5.81,0.79,0.35,2.2,0.06,10.83,12.64,6.19,0.55,13.18,1.77,0.788524,0.61027
SOX10,0.07,7.21,0.23,7.54,0.36,3.68,0.14,0.08,0.3,0.15,0.12,7.57,15.49,12.6,0,0.35,0.1,0.44,8.64,0,0.877461,4.59387,0
SPDEF,4.82,0,0.31,0.07,23.33,0.1,32.81,0.18,29.04,17.36,3.35,0.76,0.1,1.68,9.42,19.67,12.1,6.28,0.06,2.74,0.0599452,0.081614,0.0786328
SPRR1B,2.21,0,0.2,561.54,129.19,340.49,0.06,0.12,0,0,0.14,0.19,240.39,0.07,0,0.29,1.23,10.66,0,0,0,0,19.3734
SPTLC2,77,43.56,46.66,56.33,55.14,47.36,73.3,51.11,87.94,68.01,43.05,35.55,51.94,48.98,61.53,70.33,41.98,75.83,50.11,14.97,57.1103,29.0476,50.9424
SRPX,6.14,7.3,2.83,4.09,3,11.86,1.7,3.31,0.1,3.11,2.86,4.1,4.63,13.26,0,14.41,8.62,17.72,3.13,0,3.59543,12.2939,0.0571367
TCF7L1,5.14,5.18,8.74,19.61,4.22,7.02,1.36,2.18,1.17,3.25,1.6,29.62,8.59,13.34,4.97,8.7,4.35,6.18,8.42,0.72,5.31734,15.1132,12.7279
TFAP2B,0.05,0,0.16,0.19,17.14,1.36,29.96,0,0,7.19,0.4,5.63,0.49,1.6,0.03,0,0,13.74,0.54,200.92,0.0490498,0.599538,0
THBS4,25.63,67.29,0.52,18.6,3.57,6.89,1.92,0.45,0.73,3.08,1.55,110.63,0.66,6.96,12.34,3.92,2.15,38.35,2.77,3.74,11.1762,15.7553,0.0100883
TNFAIP8,12.28,19.57,19.04,14.56,16.5,14.52,6.46,26.85,7.15,11.23,9.72,8.98,7.29,6.96,0.09,16.33,9.01,24.77,7.02,11.08,33.5962,4.93188,9.44507
TNFSF10,13.36,31.69,36.92,41.39,26.61,41.15,39.06,42.87,9.77,37.18,22.79,32,13.01,20.58,22.18,17.21,62.76,52.77,35.78,0.41,7.72637,23.4788,12.6409
TRIM68,3.74,3.72,8.69,3.7,1.88,4.48,10.52,3.51,8.3,1.18,12.12,4.22,2.5,4.74,0,4.09,5.59,5.05,1.13,0,0.870141,5.09027,3.13863
TSC22D3,12.84,20.61,3.83,4.29,21.9,9.7,45.69,10.67,27.52,24.44,21.55,9.26,3.24,8.7,72.69,47.76,47.99,31.14,7.63,9.91,11.2685,28.3486,6.18332
UBD,11.46,30.71,91.5,21.21,33.12,8.24,0,81.17,2.87,18.77,24.28,9.5,0.71,0,0,12.85,19.5,4.99,8.36,30.45,22.6937,0,0
UGT2B28,0.09,0,0.06,0,0.45,0.07,5.28,0.08,5.22,0.09,0,0.02,0.23,0,0,0.12,0,4.56,0.04,0,0.00332579,0,0
XBP1,85.13,40.04,63.41,39.1,199.07,24.85,256.3,57.02,248.94,514.54,282.83,20.6,34.15,59.35,52.99,255.36,249.71,211.98,60.55,222.53,67.6143,32.4383,27.8859
ZCCHC24,1.74,3.64,1.57,0.56,1.02,2.67,1.16,1.7,1.31,1.81,1.08,1.33,0.54,2.08,3.51,3.62,2.8,3.89,1.11,0.28,0.215802,1.20761,0.203037
