gene_short_name,V515-06187-A1,TNT-139,TNT-167,TNT-234,TNT-133,TNT-289,17-00097-1_S9_cufflinks,TNT-225,TNT-115,TNT-318,TNT-192
DEFB1,3.16262,0.762547,0.0,0.591504,0.41695600000000005,1.06093,0.0,0.09093530000000001,4.61075,0.610028,3.86087
DHCR24,38.1374,18.4995,193.393,24.5526,64.1324,17.0317,44.06100000000001,9.11603,12.9893,11.4754,49.4777
DUSP5,2.6614299999999997,7.58368,5.81495,3.12875,0.0,3.5225400000000002,3.6152800000000003,4.35424,5.81537,3.1831,10.3889
FABP7,2.25652,4.85553,4.80272,0.0,0.0,13.5345,0.060764,54.5626,0.359381,0.788269,13.1366
FASN,124.609,26.8524,2436.27,35.273,36.0783,7.68728,57.3003,1.28864,5.79216,9.75475,26.719
FGFR4,2.32432,0.487249,10.5636,0.773005,0.416916,5.34385,2.04738,0.044059,0.486908,0.0277075,1.14408
FGL2,2.48121,4.2316199999999995,3.72151,6.32909,10.1991,3.17752,2.54605,7.08488,9.94236,7.74637,8.68063
FOXA1,1.38574,8.97258,343.30400000000003,5.27579,101.26700000000001,0.742095,0.09799169999999999,1.9514099999999999,1.13544,0.7537020000000001,55.0153
FOXC1,9.10755,70.1013,0.867287,14.6341,0.0,60.9547,65.4708,23.0437,14.4227,32.566,3.6437199999999996
GABRP,8.66089,663.0939999999999,0.0719074,1028.27,0.0,23.4685,7.864789999999999,369.529,284.178,262.378,53.2833
GALNT7,12.4003,16.3709,21.0465,18.4391,89.2718,4.23746,7.85755,29.7218,19.2697,19.94,58.9319
GBP1,41.394,219.584,54.6539,225.238,79.0541,208.94299999999998,84.0119,106.125,455.04699999999997,656.55,185.85299999999998
GCHFR,0.42253100000000005,0.0,0.0,0.27570500000000003,0.8878870000000001,0.223262,0.42294,0.166209,0.49881499999999995,0.2555,0.9483219999999999
GPR87,0.9514879999999999,8.56737,0.0,2.69066,0.0,0.7766390000000001,0.0,5.90917,0.799525,0.37691199999999997,0.0
GZMB,1.4986,0.105476,0.0,11.2726,0.114792,0.21130300000000002,1.86027,1.69408,7.92905,8.29775,2.56301
HGD,4.21735,0.34505,59.5357,1.4209200000000002,0.0,1.87352,0.17512,3.4355800000000003,1.7478900000000002,2.33301,25.9325
HTRA1,91.2943,37.3821,34.9726,33.9002,57.5539,82.6346,44.1674,176.986,27.1148,120.001,118.212
