gene_short_name,V515-06187-A1,TNT-115,TNT-204,TNT-69,TNT-139,TNT-219,TNT-211,17-00160-1_S2Aligned_cufflinks,TNT-24,TNT-218,17-00143-5_S2Aligned_cufflinks
GZMB,1.4986,7.92905,5.68281,2.27449,0.105476,4.365419999999999,2.34563,3.3163400000000003,18.8047,6.5088,2.22425
HGD,4.21735,1.7478900000000002,7.773969999999999,0.0599395,0.34505,5.92545,0.0,0.248937,3.29947,0.947161,12.1696
HTRA1,91.2943,27.1148,28.7803,27.0333,37.3821,58.4941,5.43417,38.5339,59.9396,6.942660000000001,10.2802
IDO1,0.29142399999999996,35.7412,29.6198,2.31777,44.8251,11.2391,38.5196,9.38429,44.933,7.720560000000001,2.11836
IGFBP4,13.3498,0.5079020000000001,1.63285,0.690966,8.66618,2.90062,0.972145,3.68364,5.12951,0.257484,2.56719
IGHM,55.218999999999994,497.514,241.665,26.5525,55.1274,168.525,64.7857,261.798,187.014,115.053,19.4641
IGJ,20.0186,970.4960000000001,968.825,138.64600000000002,65.2352,240.695,182.497,93.7332,472.398,103.21799999999999,4.32342
IGKC,182.34599999999998,13844.9,3663.16,701.15,623.875,8029.29,664.077,3271.85,11973.6,1657.02,62.7069
IL23A,0.049007300000000004,0.353477,0.0,1.17162,0.0,0.0,0.0,0.0419799,0.229037,0.9967530000000001,0.0
IL33,0.8833290000000001,1.235,2.37094,0.41164700000000004,1.0214299999999998,5.45782,3.07225,0.23683600000000002,1.20917,3.07428,0.40103
INPP4B,37.1722,21.6641,15.7299,4.95234,14.4823,47.1711,29.2064,7.95597,13.4709,6.77033,21.6831
ITM2A,5.13433,24.0371,35.1851,6.33672,5.5162,46.4792,33.4304,8.61838,17.2039,21.6812,2.56933
JAM2,11.2143,3.7899,6.6045300000000005,5.17669,1.8531799999999998,6.03214,16.7301,3.97655,5.36198,1.74953,0.444035
KCNK5,7.320460000000001,0.3558,0.248838,1.7049400000000001,1.0216100000000001,0.0989018,1.87083,4.97692,3.72339,0.897033,0.149882
KIAA1324,6.46799,1.5275,35.5909,19.3855,17.5328,81.4101,25.574,0.90376,15.5619,23.9853,89.5923
KMO,1.44589,5.41624,17.6331,4.3813699999999995,2.22641,4.78878,0.175948,3.05037,5.29445,13.1631,33.754
KRT14,118.37100000000001,0.551354,4.93714,60.1135,495.375,0.12215999999999999,49.2563,0.9092540000000001,11.775,3.41339,0.980966
KRT16,91.0343,9.47135,0.516638,49.5287,65.3751,2.40834,2.0638,36.6867,156.186,24.6943,9.40847
KRT17,105.34700000000001,2.63747,5.96539,14.8796,220.483,0.0,11.2516,137.314,237.929,84.8878,60.619
KRT6A,54.2242,4.88946,0.693673,58.98,172.75400000000002,0.0207626,5.8905,10.3745,12.9195,136.69799999999998,2.72352
KRT6B,86.6584,4.7401599999999995,2.06779,7.0408100000000005,73.2841,0.742875,0.268239,105.963,75.9562,47.0151,1.0345600000000001
KYNU,14.7879,10.3495,36.3404,3.73245,2.42706,8.8547,0.293491,6.34854,11.8771,9.0285,71.5981
LBP,0.573258,1.5258399999999999,9.97681,0.49103500000000005,0.856867,0.0,0.0236002,0.24971,0.11400199999999999,0.642543,0.830781
LHFP,2.0952,0.43419399999999997,0.393498,0.5959979999999999,0.7534930000000001,1.4099899999999999,0.43799399999999994,0.46170900000000004,1.22997,0.639737,0.411592
MFAP4,1.60954,2.83094,1.26006,0.351571,1.29656,8.48944,2.02946,1.0224799999999998,4.47361,2.82112,0.410963
MIA,21.0747,0.0,0.902935,34.2175,42.9602,1.0778299999999998,10.3593,0.5800109999999999,9.454410000000001,26.1396,0.0
MID1,36.2366,4.80063,7.777710000000001,20.8948,13.3447,3.8664400000000003,1.7213900000000002,11.5278,24.9344,13.0964,24.8579
MYBL1,4.603619999999999,40.5034,5.3623,59.0741,54.0697,9.22631,8.68051,10.6239,50.6087,7.97081,1.8149
NEK2,17.1321,29.8304,3.68013,36.3432,89.38,6.11541,0.0248886,26.3562,7.708189999999999,5.3237,27.4882
NTN3,0.023557599999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0487584,0.0585428
OGN,1.27872,5.27671,18.2162,15.7295,11.8601,9.62504,27.8165,1.35366,7.165780000000001,10.2367,0.0757681
PI3,0.0,0.239601,0.0,0.0,0.749434,0.0,0.372091,1.8968599999999998,0.310929,25.1613,0.0
PLEKHB1,14.583,0.0,0.0,0.47036400000000006,1.25768,0.163102,0.0457857,5.0627699999999995,3.86976,2.25284,0.903185
PMAIP1,1.6239299999999999,1.4331,5.34089,2.0832599999999997,5.27086,5.16143,0.0,2.45811,2.36075,1.89773,0.161
PSMB9,0.0,33.166,13.0232,5.87836,8.619110000000001,11.1204,11.3307,0.0,49.1147,22.0108,0.0
PTGDS,1.49063,1.7184700000000002,5.47321,0.59451,3.6436800000000003,11.7022,13.5679,1.8430900000000001,2.5061,3.1605,0.64403
RARRES3,10.7933,87.5903,41.4027,4.410819999999999,18.0742,45.042,15.4604,6.713660000000001,45.1789,48.2855,49.0465
RTP4,0.772275,9.50501,2.81104,0.7497020000000001,6.42063,2.86061,0.0,3.2141900000000003,8.94065,4.38933,0.152572
S100A1,196.638,10.6195,0.0,23.4472,45.0482,0.760753,18.989,13.8277,88.1761,2.1712599999999997,0.9346110000000001
S100A7,6.579160000000001,519.99,3.4990099999999997,1.43858,7.319660000000001,0.0,19.6219,16.7462,4.37861,6.70688,2.94811
