gene_short_name,V515-06187-A1,TNT-54,TNT-158,17-00174-6_S15Aligned_cufflinks,TNT-217,17-00163-6_S7Aligned_cufflinks,TNT-310,TNT-328,TNT-56,TNT-240,TNT-318
COL5A2,202.313,24.5429,103.473,95.3652,14.9289,41.0361,217.037,25.6229,67.1142,13.8008,225.74099999999999
CRAT,3.09639,8.035219999999999,2.67745,5.54589,2.88125,9.7429,4.10859,3.56428,1.48946,4.80961,4.9586
CROT,17.2031,7.78597,8.122910000000001,18.127,7.566439999999999,5.1833,3.20186,8.11488,24.9742,0.07272569999999999,14.1979
CXCL10,2.29941,37.7643,63.0364,3.53341,41.7207,24.1237,111.71700000000001,8.52238,383.87300000000005,630.34,130.123
CXCL11,0.642556,14.0366,9.6686,0.9549559999999999,15.1105,1.88411,9.69977,0.0,91.8946,44.9543,13.0947
CXCL13,0.0413495,33.4686,7.40388,1.16539,157.641,1.7244700000000002,12.3011,0.0,24.9641,91.6347,28.7339
CYP4F8,0.048019099999999995,0.990511,0.19008599999999998,1.4973,0.0,0.0,0.0,0.0,0.0,0.04148230000000001,0.0
DBI,412.371,101.01,694.721,69.2038,54.1796,307.908,156.67,61.6366,601.0269999999999,118.743,116.994
DEFB1,3.16262,0.0,0.0,7.12312,0.0,0.14658,1.00589,3.2168400000000004,7.80312,0.0,0.610028
DHCR24,38.1374,8.20185,17.0556,82.1604,1.9453900000000002,62.1057,31.9861,9.57038,14.4239,0.817277,11.4754
