gene_short_name,V515-06187-A1,TNT-208,TNT-204,TNT-49,17-00156-7_S13Aligned_cufflinks,TNT-223,17-00243-6_S9Aligned_cufflinks,TNT-299,TNT-265,TNT-134,TNT-44
KIAA1324,6.46799,109.37899999999999,35.5909,21.4507,148.542,101.822,20.3606,17.3401,29.7423,11.1121,12.3385
KMO,1.44589,9.141210000000001,17.6331,12.1647,0.0,124.265,4.74343,11.9762,35.9784,1.7682799999999999,3.68019
KRT14,118.37100000000001,0.181523,4.93714,35.3234,598.006,0.0,242.393,25.6825,0.928637,397.356,92.8815
KRT16,91.0343,3.55465,0.516638,60.0704,806.332,4.82541,22.3233,56.8354,8.10305,59.6753,149.575
KRT17,105.34700000000001,0.600122,5.96539,12.9822,533.669,4.72114,355.93,26.0235,3.14951,765.1010000000001,173.196
KRT6A,54.2242,8.43293,0.693673,103.156,2951.55,18.7566,172.062,44.845,23.9984,247.12400000000002,57.7713
KRT6B,86.6584,0.298235,2.06779,69.3727,870.998,4.75327,39.5844,37.9913,1.93487,93.2796,33.1355
KYNU,14.7879,26.8288,36.3404,12.762,0.0,86.6903,20.7412,5.05969,14.4931,7.29957,9.041360000000001
LBP,0.573258,3.46219,9.97681,1.48824,0.0,18.9415,6.9576199999999995,15.463,0.37161,2.55761,0.73285
LHFP,2.0952,2.59058,0.393498,0.345973,0.0,0.20118699999999998,3.41442,0.40642399999999995,0.7185600000000001,0.766592,5.4203
MFAP4,1.60954,6.0048,1.26006,12.1226,0.0,0.228023,29.2715,1.01978,3.21895,2.89975,8.7876
MIA,21.0747,0.82752,0.902935,15.9908,0.0,0.0,3.57539,36.2504,2.32658,18.0933,13.4092
MID1,36.2366,26.7608,7.777710000000001,19.9115,0.0,6.942819999999999,19.4964,19.6522,7.789039999999999,35.5331,18.9785
MYBL1,4.603619999999999,6.4873400000000006,5.3623,23.1822,0.0,6.41105,2.26514,63.3801,65.958,73.735,42.4586
NEK2,17.1321,4.71088,3.68013,4.63665,0.0,1.32151,0.583537,32.8681,24.9457,45.783,15.4104
NTN3,0.023557599999999998,0.0,0.0,0.0,0.0,0.0,0.028244799999999997,0.0,0.0,0.0355409,0.0
OGN,1.27872,5.90913,18.2162,29.0435,0.0,23.7732,45.42100000000001,14.3594,9.22293,22.5238,26.9847
PI3,0.0,0.538994,0.0,28.9086,0.0,0.0,0.47588500000000006,19.5937,0.138156,1.4430399999999999,0.0
PLEKHB1,14.583,0.41071899999999995,0.0,0.130964,0.0,0.0,1.3299,2.5600099999999997,1.9091599999999997,1.72521,4.90876
PMAIP1,1.6239299999999999,0.108547,5.34089,0.0,0.0,0.0,0.588906,4.82886,3.11746,1.27636,1.00094
PSMB9,0.0,10.6131,13.0232,9.547880000000001,0.0,2.2066,0.0,5.5591,35.3842,9.68523,8.41277
PTGDS,1.49063,7.60203,5.47321,8.61149,48.2798,0.046410599999999996,30.8632,2.39453,15.2188,0.761197,4.868469999999999
RARRES3,10.7933,59.575,41.4027,4.62095,12.3192,5.725569999999999,35.4719,7.0246699999999995,46.8306,17.6937,29.4438
RTP4,0.772275,0.763183,2.81104,0.0,0.0,0.0,1.58515,3.77599,11.5963,3.8826699999999996,0.707379
S100A1,196.638,12.8427,0.0,5.705830000000001,17.41,11.2886,3.7795699999999997,32.7335,4.29134,26.7952,16.0569
S100A7,6.579160000000001,0.836478,3.4990099999999997,130.787,0.0,2883.09,8.425880000000001,7.09766,22.3707,0.0,5.847
S100A8,3.4999599999999997,3.90436,8.7204,87.3694,93.6986,208.519,10.0399,24.8919,1.86021,0.0,5.58615
SCRG1,23.221999999999998,1.54064,0.700362,0.0,0.0,0.0,0.0701932,35.6581,0.43998699999999996,18.5708,8.82788
SEMA3C,89.189,89.8808,55.0883,34.3299,0.9662040000000001,182.94,61.3215,37.7756,22.3716,30.8402,55.7138
SERHL2,5.02658,23.9761,56.482,1.0178399999999999,0.0,5.80047,19.9281,0.5387390000000001,2.6417900000000003,4.04001,0.26898299999999997
SFRP1,35.3095,2.9735099999999997,1.9391599999999998,3.58035,1.7652700000000001,0.0,6.72849,11.8774,0.18926800000000002,27.6853,12.8129
SIDT1,0.9090090000000001,17.9819,17.7867,9.38234,0.0,84.0145,9.63895,2.94446,23.2043,1.84421,13.0942
SOX10,3.84721,0.20005799999999999,0.0,0.8943270000000001,6.01954,0.0,1.24586,2.03024,1.01938,4.76922,1.10416
SPDEF,0.141878,4.01216,5.67909,0.043974099999999995,0.0,2.5880799999999997,2.54524,0.868376,0.07995880000000001,0.46836400000000006,0.8678819999999999
SPRR1B,0.09447810000000001,0.0,1.1117299999999999,0.0,0.0,0.0,0.10835,0.278642,0.0,0.0,0.0
SPTLC2,28.7351,177.357,38.3141,8.47609,0.0,55.0856,28.4852,26.9449,39.5264,17.6175,29.1229
SRPX,12.4869,2.6516,1.8813099999999998,10.3912,0.0,3.35209,14.706,2.8907,0.232665,8.93184,14.3073
TCF7L1,11.751,4.7443,2.498,39.6384,0.0,1.08168,10.1506,10.5965,5.04884,32.592,8.50101
TFAP2B,1.18026,63.8229,27.5623,3.7353400000000003,0.0,83.7343,6.80933,2.20139,0.0699716,1.0816,2.00691
THBS4,8.67223,17.0684,52.0386,1.3951200000000001,15.8989,87.3978,12.7354,8.9721,1.1335600000000001,7.51145,63.4373
TNFAIP8,5.97248,34.1046,55.4688,9.34008,0.0,41.4164,14.1535,8.407010000000001,93.1282,24.3674,29.6814
TNFSF10,24.8142,26.7468,27.04,49.6164,173.023,55.0767,35.1596,8.92687,48.2169,21.7547,31.8392
TRIM68,7.67148,2.18424,2.84899,0.0474908,0.0,5.11825,2.74792,1.65405,1.8199400000000001,1.0802,10.9883
TSC22D3,7.24202,32.9086,16.317999999999998,18.7024,139.387,11.1697,25.3356,13.1949,13.4299,2.78973,16.5943
UBD,0.0,13.3971,35.4542,60.5991,0.0,0.267461,15.4556,2.67944,25.0035,1.9809900000000003,7.67732
UGT2B28,0.0,1.10677,0.49240600000000007,0.0,0.0,0.26037,0.44190799999999997,6.18025,0.0886665,0.0,12.458
XBP1,26.3139,148.80200000000002,341.116,44.2997,106.709,421.015,91.5877,22.8505,42.5204,59.7946,57.6598
ZCCHC24,0.75321,1.13434,1.14291,0.0,0.0,0.0473286,2.24439,0.17440899999999998,0.39827399999999996,1.43079,3.9076699999999995
