gene_short_name,V515-06187-A1,TNT-157,17-00104-2_S7Aligned_cufflinks,17-00143-5_S2Aligned_cufflinks,TNT-227,17-00127-8_S3Aligned_cufflinks,TNT-270,17-00125-8_S13Aligned_cufflinks,TNT-111,TNT-182,TNT-238
CRAT,3.09639,1.38838,12.0212,16.3546,2.44925,0.737631,11.3929,20.776999999999997,70.4712,4.193169999999999,5.162000000000001
CROT,17.2031,8.916360000000001,20.2671,21.1097,7.9890300000000005,21.1361,103.521,4.49909,61.6759,4.71211,8.11357
CXCL10,2.29941,91.8598,0.414279,5.9346,195.173,14.1618,2.65309,0.0,3.96971,167.102,53.2897
CXCL11,0.642556,8.917819999999999,0.07331030000000001,1.10673,17.6549,0.0,1.01607,0.0,0.353852,20.1739,9.54068
CXCL13,0.0413495,46.1831,0.20138,4.2982,31.79,0.0,36.615,0.0,23.2391,8.864289999999999,66.4045
CYP4F8,0.048019099999999995,0.0,0.0,3.67657,0.276966,0.0,3.49045,5.58269,10.0194,0.0,0.0
DBI,412.371,134.685,51.5305,114.67399999999999,147.596,94.0731,770.5239999999999,14.5811,701.686,255.49599999999998,37.3285
DEFB1,3.16262,0.135413,6.7465399999999995,12.7599,1.68765,0.0,2.29778,0.0,0.0,0.832102,6.17349
DHCR24,38.1374,74.3837,67.6527,140.125,3.4435300000000004,9.27006,58.1848,26.3007,109.75200000000001,57.4009,14.4175
DUSP5,2.6614299999999997,6.9571,2.25617,5.98185,3.49885,2.0363,9.28277,17.2635,9.23302,8.58565,7.092739999999999
FABP7,2.25652,0.054773199999999994,16.3438,0.0,0.19135,4.2431,61.6315,1.4797200000000001,289.357,0.320356,0.459537
FASN,124.609,41.2107,49.9543,264.185,0.597191,36.2518,24.5049,188.59599999999998,122.384,2.86796,2.5632599999999996
FGFR4,2.32432,4.540719999999999,0.516594,37.3663,0.0,0.755862,0.399559,0.0,8.91163,0.0,2.2803
FGL2,2.48121,10.3349,0.393938,0.907804,9.167639999999999,0.059887300000000004,3.01475,5.21316,2.79398,9.52411,17.1009
FOXA1,1.38574,1.01931,7.66108,143.36,0.8824569999999999,5.49379,166.612,70.9237,201.456,8.27237,1.53088
FOXC1,9.10755,28.4132,21.055999999999997,3.12932,35.2188,26.7646,1.0739,12.1608,3.5824599999999998,15.3841,8.49762
GABRP,8.66089,503.14,26.6801,22.4545,136.776,223.362,1.19229,79.957,9.12478,1005.45,481.995
GALNT7,12.4003,12.2184,26.588,59.9791,19.0978,27.8541,157.514,20.9316,49.7457,12.5692,14.2293
