,gene_short_name,V515-06187-A1,17-00160-1_S2Aligned_cufflinks,17-00097-1_S9_cufflinks,TNT-231,TNT-208,TNT-154,17-00141-7_S14Aligned_cufflinks,TNT-45,TNT-209,TNT-240,TNT-115
68,NTN3,0.0235576,0.0,0.175515,0.0,0.0,0.0,0.294553,0.0,0.0,0.0,0.0
69,OGN,1.27872,1.35366,0.632217,9.15397,5.90913,27.0642,18.2678,6.62343,16.9272,21.5396,5.27671
70,PI3,0.0,1.89686,2.08188,119.469,0.538994,0.0,0.242034,39.2395,36.0043,0.0,0.239601
71,PLEKHB1,14.583,5.06277,0.949499,0.0133431,0.410719,0.469332,9.12156,2.29668,0.937892,0.0,0.0
72,PMAIP1,1.62393,2.45811,2.63308,9.53519,0.108547,0.0,0.240557,1.80954,3.86427,0.139094,1.4331
73,PSMB9,0.0,0.0,0.0,24.8823,10.6131,12.6717,0.0,12.4823,39.4181,13.8639,33.166
74,PTGDS,1.49063,1.84309,0.585706,1.56648,7.60203,3.71266,6.30433,0.506409,10.7944,0.945333,1.71847
75,RARRES3,10.7933,6.71366,7.35418,119.425,59.575,0.0,8.45957,19.0444,21.1557,0.650348,87.5903
76,RTP4,0.772275,3.21419,0.724984,0.123359,0.763183,2.48729,0.76704,3.73465,4.54023,1.98636,9.50501
77,S100A1,196.638,13.8277,5.58359,0.0,12.8427,11.4917,76.9885,3.91214,2.19622,4.30047,10.6195
78,S100A7,6.57916,16.7462,0.528765,376.721,0.836478,0.0,1.72329,5.92037,1.53294,0.0,519.99
79,S100A8,3.49996,7.46874,3.62696,372.79,3.90436,2.37332,0.295455,35.7846,71.2434,9.6087,96.5914
80,SCRG1,23.222,0.353705,0.143501,0.0,1.54064,8.04444,0.362433,2.241,0.817431,0.2811,0.127307
81,SEMA3C,89.189,5.61644,46.9475,97.5067,89.8808,15.6864,75.3746,66.4924,13.7044,0.515182,9.35257
82,SERHL2,5.02658,2.62127,9.03314,3.99712,23.9761,0.266631,5.89006,1.33335,1.66477,0.0,5.03873
83,SFRP1,35.3095,9.88577,31.8986,2.70922,2.97351,0.300806,6.9682,21.9643,1.9717,4.98817,4.03801
84,SIDT1,0.909009,0.634227,1.42207,8.15287,17.9819,0.799825,5.71251,3.27007,28.4101,2.4719,8.53938
85,SOX10,3.84721,7.16494,0.0,0.0,0.200058,1.1984,5.33047,1.79304,0.281703,0.229275,0.812829
86,SPDEF,0.141878,0.302264,0.783422,3.13514,4.01216,2.73134,1.26166,0.332551,0.0449808,0.0,0.27778
87,SPRR1B,0.0944781,0.52413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,SPTLC2,28.7351,49.6177,44.3926,25.4481,177.357,34.4312,37.3209,47.2347,66.6195,15.8622,74.6543
89,SRPX,12.4869,1.60124,5.55629,2.24238,2.6516,5.56226,4.75576,3.68179,1.62465,0.236994,1.54925
90,TCF7L1,11.751,12.7575,21.8613,5.53084,4.7443,28.9403,12.9167,8.33778,5.12794,33.1589,3.03016
91,TFAP2B,1.18026,0.0538654,0.418495,1.15365,63.8229,0.0,2.29971,0.199188,0.315354,0.0,0.0
92,THBS4,8.67223,0.485063,1.09118,10.1966,17.0684,46.2432,0.902938,2.1029,11.9925,0.373618,5.97353
93,TNFAIP8,5.97248,9.44032,9.78406,21.7562,34.1046,15.5569,10.2742,27.8568,134.107,15.1801,44.1196
94,TNFSF10,24.8142,32.8667,6.81171,21.3015,26.7468,40.4481,8.05405,22.0889,74.1737,34.5012,75.9663
95,TRIM68,7.67148,0.76994,0.781292,2.10719,2.18424,0.70638,5.42481,1.82696,0.417851,0.0,2.44961
96,TSC22D3,7.24202,9.99221,8.16817,8.55024,32.9086,0.0,12.8591,5.14667,6.98571,0.0,16.9798
97,UBD,0.0,0.0,0.0,79.92,13.3971,16.3976,0.0,35.8375,70.7467,29.6678,76.5536
98,UGT2B28,0.0,0.0,0.573986,0.0,1.10677,0.0,0.0,0.236981,0.0,0.0187753,0.0
99,XBP1,26.3139,57.7395,43.428,187.4,148.802,50.7742,63.0414,94.0816,30.3003,89.0039,97.6865
100,ZCCHC24,0.75321,0.345243,0.98317,0.0315651,1.13434,0.0,3.65675,0.53233,0.354545,0.0,0.691361
