,gene_short_name,V515-06187-A1,TNT-62,17-00280-7_S4Aligned_cufflinks,17-00152-9_S4Aligned_cufflinks,TNT-318,17-00165-0_S10Aligned_cufflinks,TNT-299,TNT-326,17-00271-8_S16Aligned_cufflinks,TNT-154,TNT-82
88,SPTLC2,28.7351,30.4717,55.1443,0.0,41.8028,36.9972,26.9449,19.0873,49.9711,34.4312,31.9076
89,SRPX,12.4869,3.95488,1.21131,0.0,4.89765,7.7255,2.8907,2.17439,30.9274,5.56226,3.4502
90,TCF7L1,11.751,18.6337,5.66091,43.2203,28.1337,12.2126,10.5965,27.8505,6.54781,28.9403,5.74527
91,TFAP2B,1.18026,1.32869,14.087,0.0,0.236125,1.31903,2.20139,9.64635,8.73733,0.0,0.378274
92,THBS4,8.67223,2.546,4.36571,0.0,6.8529,9.05913,8.9721,1.19803,11.9439,46.2432,5.24717
93,TNFAIP8,5.97248,17.2372,16.454,0.0,23.671,19.7065,8.40701,29.3606,10.2542,15.5569,12.5866
94,TNFSF10,24.8142,6.9446,132.384,1.52524,15.4007,15.2118,8.92687,37.3773,18.0931,40.4481,9.16731
95,TRIM68,7.67148,2.36306,8.45792,0.0,2.08187,4.55783,1.65405,0.822314,5.80638,0.70638,0.680226
96,TSC22D3,7.24202,6.88048,9.54262,0.0,10.0065,47.9444,13.1949,1.96725,125.664,0.0,16.1831
97,UBD,0.0,17.5477,0.0,0.0,50.1398,12.4914,2.67944,2.44506,0.0,16.3976,1.03575
98,UGT2B28,0.0,1.48948,0.102638,0.0,0.0408627,0.0330028,6.18025,0.0,533.419,0.0,0.0
99,XBP1,26.3139,85.7476,304.504,116.27,29.8963,87.5133,22.8505,99.6604,71.8158,50.7742,13.4489
100,ZCCHC24,0.75321,0.124046,0.520663,0.0,0.360548,1.67888,0.174409,0.015883,2.3669,0.0,0.289876
