,gene_short_name,V515-06187-A1,17-00139-2_S9Aligned_cufflinks,17-00111-2_S4_cufflinks,17-00104-2_S7Aligned_cufflinks,TNT-225,17-00258-5_S5Aligned_cufflinks,TNT-227,TNT-204,17-00113-4_S11_cufflinks,TNT-27,17-00122-1_S1_cufflinks
18,CRAT,3.09639,1.53182,7.61619,12.0212,1.33989,7.21592,2.44925,8.49002,2.69333,2.29762,3.73345
19,CROT,17.2031,2.58029,9.11234,20.2671,8.52486,10.1169,7.98903,12.996,5.8188,33.2998,34.0231
20,CXCL10,2.29941,20.0542,26.4698,0.414279,8.15851,16.6569,195.173,65.778,26.4345,17.1828,12.7818
21,CXCL11,0.642556,6.05504,9.11358,0.0733103,0.637592,7.99702,17.6549,12.7703,5.58739,0.123562,1.42336
22,CXCL13,0.0413495,0.924701,10.9874,0.20138,6.32163,2.88489,31.79,12.2053,7.41406,23.0044,12.3406
23,CYP4F8,0.0480191,0.0,0.0,0.0,0.169669,0.0,0.276966,0.254896,0.0,0.00678974,0.0
24,DBI,412.371,77.3433,129.475,51.5305,130.439,166.079,147.596,305.276,79.2129,152.017,19.3784
25,DEFB1,3.16262,0.254765,2.63568,6.74654,0.0909353,1.93523,1.68765,2.15744,0.0,0.0,1.33079
26,DHCR24,38.1374,41.1448,18.9708,67.6527,9.11603,27.1696,3.44353,9.13265,4.51013,3.88958,65.7614
27,DUSP5,2.66143,3.51334,4.24291,2.25617,4.35424,2.8326,3.49885,3.80245,2.29512,0.0,3.47578
28,FABP7,2.25652,0.100483,0.111069,16.3438,54.5626,2.60242,0.19135,0.529954,7.17503,66.6622,0.0
29,FASN,124.609,96.6952,49.9008,49.9543,1.28864,68.8053,0.597191,27.5321,36.0866,1.39044,97.7484
30,FGFR4,2.32432,0.655992,0.265341,0.516594,0.044059,0.316761,0.0,7.75526,0.484282,1.45713,3.56694
31,FGL2,2.48121,1.62525,9.96545,0.393938,7.08488,6.23406,9.16764,7.28456,3.70126,11.4318,3.09946
32,FOXA1,1.38574,0.595121,5.35827,7.66108,1.95141,5.23722,0.882457,121.108,1.02879,0.606611,23.318
33,FOXC1,9.10755,26.9418,15.3442,21.056,23.0437,38.8687,35.2188,5.18437,44.431,24.7188,52.0178
34,GABRP,8.66089,383.281,0.995849,26.6801,369.529,475.426,136.776,11.243,461.206,709.436,191.482
35,GALNT7,12.4003,25.8265,22.0053,26.588,29.7218,23.3908,19.0978,31.3368,17.6967,17.0417,29.3886
36,GBP1,41.394,102.725,191.718,12.1963,106.125,98.347,154.722,194.603,75.7986,69.6213,82.2882
37,GCHFR,0.422531,0.312517,1.08635,0.190252,0.166209,0.326596,0.396591,0.235974,0.0,0.0,1.22014
38,GPR87,0.951488,0.0,0.635927,21.0117,5.90917,0.0741723,1.74954,5.54019,1.64538,5.22374,3.38113
