,gene_short_name,V515-06187-A1,TNT-201,TNT-177,TNT-322,17-00157-0_S11Aligned_cufflinks,TNT-313,TNT-311,17-00113-4_S11_cufflinks,TNT-152,TNT-45,17-00139-2_S9Aligned_cufflinks
0,ABCA8,1.07397,6.476459999999999,9.29659,2.96949,14.9899,11.8392,34.8692,15.3024,28.3027,69.6238,3.6460000000000004
1,ADRA2A,0.196819,0.195692,0.268389,0.47120200000000007,0.9286280000000001,0.166689,0.0496502,1.17333,0.562541,0.0861151,0.21834
2,AKAP12,3.7524300000000004,12.689,2.95332,10.0738,11.8446,5.92393,15.4658,3.4871199999999996,19.0715,3.04989,2.68102
3,ALDH3B2,34.613,8.55663,8.06703,2.3968599999999998,2.39375,0.129083,0.5624600000000001,0.0,134.872,0.95725,27.7129
4,APOD,101.54799999999999,127.635,139.493,43.1584,50.4508,68.6262,582.871,364.67199999999997,3238.15,41.6221,8.01472
5,ART3,19.2103,64.8882,4.00471,30.7849,0.291602,5.75635,379.806,34.7165,0.0,13.519,1.5872
6,ASPN,31.1651,46.2732,37.577,71.8074,27.6337,30.4671,46.0267,24.2658,89.7133,28.9929,9.948369999999999
7,AZGP1,64.9749,651.6469999999999,95.197,78.8806,3.87216,86.0315,580.643,1.9705,678.875,34.8083,1.50857
8,BLVRB,6.57613,2.21732,3.74146,1.60934,4.4324900000000005,2.56904,0.5977600000000001,1.3641299999999998,9.51428,0.760424,1.37106
9,C7,0.29143,4.18576,0.643378,6.31146,5.99394,2.9121599999999996,8.6817,1.0167,41.1971,0.936934,0.645289
10,CCL5,1.03708,3.4542599999999997,7.50898,1.6988599999999998,0.0,6.95546,2.70085,18.6956,12.9609,1.6864,2.11983
11,CD36,36.5005,37.1595,57.821000000000005,28.7743,149.636,7.603460000000001,25.2541,17.7305,35.2708,35.4874,14.3767
12,CD52,5.15236,17.2804,35.5903,13.838,2.70915,146.87,21.335,10.3919,82.2545,10.8174,2.72221
13,CDC20,19.1111,15.1737,29.8034,6.0292,14.3517,4.3525599999999995,8.48748,13.2209,4.505269999999999,8.45575,34.2285
14,CHI3L1,52.4824,27.7612,11.0398,35.8325,45.5875,122.696,0.922415,14.252,0.786117,22.6098,127.334
15,COL2A1,124.822,0.10346400000000001,246.99099999999999,53.7069,114.78299999999999,0.48526499999999995,0.0,40.7805,0.0,42.1761,0.569296
