,gene_short_name,V515-06187-A1,17-00108-5_S18Aligned_cufflinks,TNT-202,TNT-157,TNT-322,TNT-62,TNT-100,TNT-166,TNT-2,TNT-183,TNT-270
42,IDO1,0.291424,2.49456,7.40508,12.8347,2.73532,33.6168,26.7969,6.50028,30.9316,16.4467,1.39216
43,IGFBP4,13.3498,11.6234,0.876592,2.9835,1.50953,0.729982,1.63244,8.68595,3.42292,4.12808,0.30803
44,IGHM,55.219,213.124,110.23,350.832,22.8218,1047.04,2633.01,34.2624,1396.31,158.059,39.0876
45,IGJ,20.0186,86.6554,146.929,302.263,90.7233,377.016,1101.02,14.8734,761.952,56.6484,97.7094
46,IGKC,182.346,11833.8,1651.13,5900.1,4574.11,9856.55,13908.6,116.018,30004.8,2465.71,2435.65
47,IL23A,0.0490073,0.187825,0.0,0.0,0.175262,0.264702,0.111458,0.351562,1.4892,0.225056,0.0
48,IL33,0.883329,1.09261,21.1157,2.45861,1.37403,0.178782,4.16297,0.900668,1.94905,2.54692,0.765195
49,INPP4B,37.1722,8.1298,4.15032,17.0085,11.0585,13.0048,16.4583,18.4035,40.8309,26.3032,108.733
50,ITM2A,5.13433,6.95836,12.912,15.7734,8.41023,10.9137,43.1574,7.83349,68.16,14.9501,3.51921
51,JAM2,11.2143,2.33619,2.03046,12.3479,14.3878,5.82519,8.00646,3.25852,7.89353,2.14025,5.26089
52,KCNK5,7.32046,5.83935,1.84855,0.690415,1.85514,1.83848,0.647269,7.58505,0.187149,1.74209,0.0564726
53,KIAA1324,6.46799,12.8659,30.8297,11.462,44.5245,10.6981,22.5117,63.5315,55.1968,37.9078,91.0199
54,KMO,1.44589,5.28187,4.14027,3.60543,7.92906,4.93658,4.03722,2.38074,15.1833,17.2305,63.0281
55,KRT14,118.371,38.0093,5.13657,48.6854,26.5788,234.524,17.7406,47.2158,0.0,18.8354,0.0440374
56,KRT16,91.0343,61.3773,16.1524,29.9302,89.57,51.2569,26.5273,133.144,0.579715,96.5302,0.556193
57,KRT17,105.347,31.6651,9.91089,93.4954,75.4316,248.891,32.7619,245.901,21.4388,199.352,2.66424
58,KRT6A,54.2242,12.3955,86.5851,114.328,9.45253,39.3992,46.8005,76.9669,5.09093,417.492,12.0715
59,KRT6B,86.6584,31.013,77.1575,58.34,11.8312,14.9447,77.5874,116.964,0.332824,153.307,1.78192
60,KYNU,14.7879,7.18597,4.77288,10.0651,5.0327,6.55581,8.12335,3.64302,20.1823,50.0199,368.811
61,LBP,0.573258,0.264648,0.296841,10.5957,0.742749,0.185482,0.0556399,0.718695,0.37057,32.6934,115.524
62,LHFP,2.0952,0.460656,0.392373,0.326932,0.848601,0.220629,1.13224,3.70826,1.1423,1.38204,0.41279
63,MFAP4,1.60954,1.97139,0.311481,5.34585,0.916599,1.26828,4.33022,7.15011,4.55944,2.24676,0.0702492
64,MIA,21.0747,52.6175,2.73e-291,1.63317,37.434,35.4567,1.96644,53.5438,0.450223,0.500988,0.0
65,MID1,36.2366,27.7178,20.6841,9.65455,25.2335,39.6211,10.3217,39.7655,14.941,5.79772,3.56896
66,MYBL1,4.60362,48.0038,230.329,114.391,49.1399,33.6012,28.7094,21.8306,4.27869,13.9755,4.90067
67,NEK2,17.1321,22.4467,47.6521,25.8249,19.8866,25.2029,17.3282,6.9051,7.57769,18.5088,4.39891
68,NTN3,0.0235576,0.0921463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278068,0.0
69,OGN,1.27872,0.861578,12.3851,24.9941,23.0471,9.35918,16.1288,8.7343,6.09545,7.74605,3.50643
70,PI3,0.0,1.40499,17.4779,17.863,0.17783,0.852695,4.06093,1.22656,0.0,3.05344,1.79934
