,gene_short_name,V515-06187-A1,TNT-277,TNT-117,TNT-98,TNT-224,TNT-217,TNT-245,17-00123-8_S16Aligned_cufflinks,TNT-220,17-00243-6_S9Aligned_cufflinks,TNT-85
15,COL2A1,124.822,0.0,0.0492249,0.0772557,0.014313,1.01694,0.0,0.522,0.333077,0.413376,98.027
16,COL5A1,145.37,39.8868,36.8377,42.4369,156.747,14.6414,19.2176,137.917,10.2585,204.403,45.6382
17,COL5A2,202.313,67.0038,37.1575,46.0351,292.85200000000003,14.9289,12.1055,174.571,17.6737,352.65,129.77
18,CRAT,3.09639,1.53874,2.27399,25.9658,4.7487900000000005,2.88125,6.39344,4.87752,4.51501,9.947460000000001,2.57163
19,CROT,17.2031,9.29257,7.6070199999999994,8.24655,20.3725,7.566439999999999,14.0462,18.6583,16.9421,15.6503,12.7296
20,CXCL10,2.29941,23.6985,122.946,197.953,35.6,41.7207,69.0365,30.3093,18.2258,15.3334,11.7658
21,CXCL11,0.642556,4.14639,9.78471,53.6756,6.50349,15.1105,12.5715,15.3951,1.35964,8.71699,2.7381599999999997
22,CXCL13,0.0413495,117.78399999999999,37.6351,12.9855,3.2785800000000003,157.641,43.5915,14.290999999999999,26.0305,5.5519099999999995,4.71574
23,CYP4F8,0.048019099999999995,0.0,0.355451,21.6456,0.064249,0.0,10.0754,0.09912339999999999,0.0,4.40353,0.0
24,DBI,412.371,61.8252,76.2147,74.6477,71.4454,54.1796,37.6406,64.7748,205.25799999999998,68.6185,133.489
25,DEFB1,3.16262,0.0,1.9851400000000001,24.0657,75.0567,0.0,10.5864,0.544689,0.0,0.460946,0.38140999999999997
26,DHCR24,38.1374,0.32005300000000003,32.4208,50.351000000000006,35.0216,1.9453900000000002,29.3965,53.6317,0.44259,27.6291,4.28671
27,DUSP5,2.6614299999999997,9.356530000000001,8.2184,4.34839,13.804,6.536919999999999,5.5220400000000005,8.27994,4.8123,12.0934,2.37387
28,FABP7,2.25652,0.0,0.985374,0.713272,0.0,1.1618700000000002,0.0,0.668057,2.41871,1.58738,6.33376
29,FASN,124.609,0.5104609999999999,9.33763,9.731589999999999,2.27257,8.13079,1.73233,147.439,5.13523,68.9283,4.8539699999999995
30,FGFR4,2.32432,0.138728,0.0,0.0,1.20116,3.89774,0.0,7.51737,0.0,0.41132799999999997,0.210286
31,FGL2,2.48121,13.9472,10.2123,15.2264,5.29089,24.3703,11.3854,8.57437,13.1522,8.60775,2.7094
32,FOXA1,1.38574,16.9152,0.275353,40.2709,35.7877,0.0,18.2225,4.29772,2.5503099999999996,36.4209,0.0
33,FOXC1,9.10755,0.385336,43.8821,12.4904,9.267430000000001,5.21185,10.5082,131.829,14.558,10.9936,79.8081
34,GABRP,8.66089,0.15685,1315.98,391.156,0.360717,12.3893,591.755,277.334,204.752,12.1721,1053.74
35,GALNT7,12.4003,9.3507,12.4562,26.8092,97.6033,27.3677,38.4835,26.1286,18.5998,25.96,38.9402
36,GBP1,41.394,127.90299999999999,140.22299999999998,319.245,95.76700000000001,212.554,138.955,185.822,79.1625,243.862,94.8531
37,GCHFR,0.42253100000000005,0.0,0.348706,0.279883,0.12175799999999999,0.383667,0.0,0.7959890000000001,0.0,0.737737,0.0
38,GPR87,0.9514879999999999,0.5834239999999999,1.68203,1.56249,5.18365,1.7766400000000002,2.33446,0.40366199999999997,8.70819,0.46162299999999995,0.274371
39,GZMB,1.4986,6.83507,24.1368,10.0195,3.7382199999999997,16.9195,8.37932,8.73698,29.3709,5.20754,0.156752
40,HGD,4.21735,0.278291,0.9588110000000001,15.2235,6.23131,0.0,0.0,0.826148,1.22995,3.72477,0.344177
41,HTRA1,91.2943,92.2482,17.8627,37.2753,140.532,10.9488,10.2875,151.22299999999998,33.9299,381.336,26.8807
42,IDO1,0.29142399999999996,33.9794,24.9349,41.407,23.0307,21.7554,54.218999999999994,13.8538,41.4352,3.1867799999999997,1.2597200000000002
43,IGFBP4,13.3498,0.29838400000000004,1.7579099999999999,3.38196,1.9677200000000001,0.823572,0.650443,18.2695,2.1301200000000002,42.5683,1.20676
44,IGHM,55.218999999999994,60.5221,803.919,227.045,13.8008,902.7230000000001,253.91299999999998,0.0,59.7954,0.0,15.7823
