,gene_short_name,V515-06187-A1,TNT-50,17-00111-2_S4_cufflinks,TNT-197,TNT-113,TNT-111,TNT-271,TNT-192,TNT-252,17-00113-4_S11_cufflinks,TNT-297
49,INPP4B,37.1722,17.8934,24.0991,6.59133,46.5469,59.8419,7.73724,27.5809,58.8828,8.61467,22.1376
50,ITM2A,5.13433,4.17182,19.0709,0.294242,24.0381,9.24223,8.80392,22.2147,45.778,6.46899,74.1134
51,JAM2,11.2143,6.59347,11.2274,5.83636,3.97831,13.8203,5.62351,26.995,8.81388,6.65171,8.94908
52,KCNK5,7.32046,0.660506,0.610668,0.0992269,0.340533,0.153093,0.537532,0.0,0.0,0.70677,0.779464
53,KIAA1324,6.46799,4.37915,14.3826,5.9885,22.8026,125.869,41.736,53.7366,5.25825,10.0233,31.6459
54,KMO,1.44589,11.1279,6.17594,10.0687,5.52365,14.655,9.41635,12.6476,21.5079,13.7969,5.40338
55,KRT14,118.371,1233.01,414.953,6.19749,78.6777,6.89034,2.72891,19.1258,0.0739849,161.559,119.134
56,KRT16,91.0343,553.128,256.994,38.6102,50.6836,1.90386,46.2,1.12426,0.145122,25.2559,22.9168
57,KRT17,105.347,379.872,173.845,99.1239,29.8449,4.03414,14.5706,17.1917,1.70607,332.388,238.324
58,KRT6A,54.2242,1349.87,502.238,21.6429,120.645,2.37252,119.982,34.9008,0.0,16.0704,138.198
59,KRT6B,86.6584,247.092,151.121,41.4921,54.9532,1.76653,7.46643,3.91155,0.0526903,38.2187,52.0512
60,KYNU,14.7879,7.27038,12.9163,13.5188,10.4972,172.138,11.4863,80.8272,29.8573,23.7754,11.5655
61,LBP,0.573258,0.417463,0.0269704,0.195841,3.7789,32.7845,1.15844,93.4457,1.23834,0.52182,0.152604
62,LHFP,2.0952,2.67659,3.04112,0.523456,0.132844,2.58615,0.986343,2.074,0.400838,0.965126,1.35016
63,MFAP4,1.60954,5.69762,15.3516,0.0912683,0.0752608,10.3604,0.80546,3.82549,1.56435,8.52027,1.71721
64,MIA,21.0747,3.17113,26.3376,9.51566,0.0,0.0,3.92295,0.0,0.0,5.36339,16.0349
