,gene_short_name,V515-06187-A1,TNT-311,TNT-13,TNT-272,TNT-132,TNT-304,TNT-4,17-00212-8_S3Aligned_cufflinks,TNT-104,TNT-245,17-00097-1_S9_cufflinks
84,SIDT1,0.909009,1.09508,0.557344,1.06168,21.0521,1.73806,13.2347,14.2961,37.3052,15.6307,1.42207
85,SOX10,3.84721,0.974734,0.79293,1.368,0.0750195,0.549191,0.0,0.0450493,0.0,0.0,0.0
86,SPDEF,0.141878,0.13159,0.365963,0.0265239,4.62556,0.485162,3.17591,9.11262,4.93238,0.0,0.783422
87,SPRR1B,0.0944781,0.0,0.0,0.0,0.0,0.0,0.0,0.0653934,0.0,0.0,0.0
88,SPTLC2,28.7351,32.6182,11.7933,34.3879,15.6968,22.3435,29.6352,69.0722,128.374,36.6645,44.3926
89,SRPX,12.4869,3.64121,5.93244,1.3637,7.88364,1.76454,6.64019,3.76485,8.902,0.502636,5.55629
90,TCF7L1,11.751,9.57248,14.4279,36.1423,2.52194,9.31606,7.72303,2.6816,4.85791,4.09108,21.8613
91,TFAP2B,1.18026,0.183917,4.86966,0.162396,18.4351,0.318333,7.52846,28.0595,92.3299,0.586359,0.418495
92,THBS4,8.67223,47.667,13.4366,5.26763,13.3943,5.10417,4.58691,10.1305,219.377,1.95089,1.09118
93,TNFAIP8,5.97248,21.8018,6.38458,15.1367,58.0308,31.3755,26.519,23.0422,15.4619,68.8324,9.78406
94,TNFSF10,24.8142,25.8363,38.3791,22.141,32.1512,16.7768,23.4715,48.7501,138.212,44.0606,6.81171
95,TRIM68,7.67148,1.64633,4.08395,3.40839,2.88826,1.01046,0.779116,7.427,0.804498,1.58243,0.781292
96,TSC22D3,7.24202,4.78071,15.0742,8.29544,25.4171,3.52469,19.5717,18.1725,20.2465,13.0707,8.16817
97,UBD,0.0,3.54236,1.88869,130.505,15.0962,5.88761,6.7378,0.0,5.86496,35.3229,0.0
98,UGT2B28,0.0,0.409168,0.567944,0.0963514,260.887,0.0,70.8305,2.89132,2.69945,0.617993,0.573986
99,XBP1,26.3139,28.2336,29.0285,51.9931,90.569,47.3865,57.555,136.75,740.561,112.543,43.428
100,ZCCHC24,0.75321,0.539957,0.0,0.159236,2.47759,0.0,1.65927,1.17116,0.0629094,0.0,0.98317
