,gene_short_name,V515-06187-A1,17-00125-8_S13Aligned_cufflinks,17-00105-7_S10_cufflinks,TNT-274,TNT-297,TNT-288,TNT-313,TNT-13,17-00258-5_S5Aligned_cufflinks,TNT-56,17-00159-1_S1Aligned_cufflinks
16,COL5A1,145.37,160.153,145.623,20.4873,58.3068,299.167,57.3617,150.34,34.1131,56.8638,52.709
17,COL5A2,202.313,136.536,236.741,25.2911,67.2474,316.313,79.4514,118.141,47.3189,67.1142,119.371
18,CRAT,3.09639,20.777,10.8298,1.1721,5.6469,6.10748,0.906711,24.9574,7.21592,1.48946,18.9193
19,CROT,17.2031,4.49909,13.6305,2.95221,7.72068,10.527,9.1463,10.412,10.1169,24.9742,9.75512
20,CXCL10,2.29941,0.0,3.53507,325.168,13.1438,4.03918,48.9679,7.04369,16.6569,383.873,25.0864
21,CXCL11,0.642556,0.0,1.68925,35.8203,3.98929,1.12534,3.51615,0.0,7.99702,91.8946,19.2674
22,CXCL13,0.0413495,0.0,1.16042,3.7417,8.68471,3.11947,64.2703,37.576,2.88489,24.9641,8.60834
23,CYP4F8,0.0480191,5.58269,0.0,0.285248,0.375541,0.703976,0.150132,0.0,0.0,0.0,0.0
24,DBI,412.371,14.5811,24.5286,228.334,174.365,91.1501,139.847,154.939,166.079,601.027,107.402
25,DEFB1,3.16262,0.0,0.0,0.0,0.352438,0.348327,0.954595,1.60599,1.93523,7.80312,3.38358
26,DHCR24,38.1374,26.3007,10.2971,13.0241,29.6213,23.7835,20.656,0.731201,27.1696,14.4239,27.97
27,DUSP5,2.66143,17.2635,7.98056,0.0136769,5.90178,3.32927,7.48927,0.0467183,2.8326,8.5035,2.60064
28,FABP7,2.25652,1.47972,0.132922,0.847085,5.60352,20.3719,0.0867112,23.0699,2.60242,0.131606,3.41217
29,FASN,124.609,188.596,33.3583,2.94285,8.58678,18.5795,2.98044,2.66772,68.8053,1.08924,88.7778
30,FGFR4,2.32432,0.0,6.27721,1.53433,0.82198,3.64999,0.253247,0.198193,0.316761,0.0,0.476452
