,gene_short_name,V515-06187-A1,17-00140-2_S2_cufflinks,17-00166-3_S11Aligned_cufflinks,TNT-166,TNT-121,TNT-304,TNT-111,TNT-4,17-00280-7_S4Aligned_cufflinks,TNT-238,TNT-65
20,CXCL10,2.29941,63.1842,28.1471,11.8491,25.2886,191.918,3.96971,39.4233,50.6872,53.2897,35.4013
21,CXCL11,0.642556,18.5376,12.1489,4.78148,0.0,27.7435,0.353852,8.87846,10.4707,9.54068,3.02595
22,CXCL13,0.0413495,16.208,3.38269,2.45979,0.0,38.1041,23.2391,46.0943,11.7207,66.4045,0.0
23,CYP4F8,0.0480191,0.467581,0.0,0.0,0.464837,0.0,10.0194,27.8697,0.562419,0.0,0.00128774
24,DBI,412.371,52.3533,46.0439,270.719,121.927,151.897,701.686,273.298,128.964,37.3285,415.849
25,DEFB1,3.16262,7.87098,0.498385,0.57757,0.0,3.25182,0.0,1.95276,1.20338,6.17349,0.0
26,DHCR24,38.1374,18.332,26.1331,90.6298,7.18474,9.19186,109.752,25.3035,57.3044,14.4175,52.2747
27,DUSP5,2.66143,7.34486,2.81645,7.79961,0.0,0.5457,9.23302,9.61596,1.67691,7.09274,2.33399
28,FABP7,2.25652,5.74169,0.403842,4.6843,6.4989,18.7847,289.357,1.97922,2.61417,0.459537,2.054
29,FASN,124.609,107.343,45.6413,46.1734,4.28607,2.77579,122.384,69.4728,284.185,2.56326,10.7493
30,FGFR4,2.32432,0.622948,1.89591,0.964925,0.156723,0.0,8.91163,1.93565,7.21331,2.2803,0.0
31,FGL2,2.48121,3.84026,5.58276,5.57745,4.59367,4.1749,2.79398,18.1586,9.03129,17.1009,6.28194
32,FOXA1,1.38574,0.725695,3.05573,2.54634,0.0,2.88396,201.456,44.0487,166.256,1.53088,37.9063
33,FOXC1,9.10755,17.2027,70.048,26.0138,31.2379,23.4572,3.58246,6.6412,1.51493,8.49762,1.83015
34,GABRP,8.66089,275.553,457.054,599.52,14.2934,963.374,9.12478,3.76132,5.34289,481.995,0.0
35,GALNT7,12.4003,14.8314,38.6016,11.9974,5.89062,22.0505,49.7457,29.7102,58.7644,14.2293,28.8918
36,GBP1,41.394,94.1626,191.847,528.756,175.529,130.413,45.8172,117.684,101.148,170.473,22.5078
37,GCHFR,0.422531,0.55353,0.525515,0.134001,0.0,0.0,1.04278,0.344589,0.738543,0.444785,0.0
38,GPR87,0.951488,4.25574,8.13279,0.296476,2.2259,11.4268,0.301862,0.0,0.14515,2.2105,1.341
