gene_short_name,Sample1,TNT-289,TNT-58,17-00121-8_S12_cufflinks,17-00114-7_S13_cufflinks,TNT-195,TNT-44,TNT-293,TNT-85,TNT-33,TNT-318
DEFB1,1.15,1.06093,0.0,1.39579,0.373373,2.00535,0.977303,1.13114,0.38141,1.17739,0.610028
DHCR24,58.37,17.0317,8.594660000000001,39.1465,14.1302,15.8205,7.2854899999999985,25.4588,4.28671,3.82499,11.4754
DUSP5,2.1,3.52254,0.667679,11.8711,2.26818,4.06994,6.42948,14.419,2.37387,5.034,3.1831
FABP7,0.0,13.5345,5.85369,2.92749,0.439255,3.66641,1.81101,0.0,6.33376,0.341104,0.788269
FASN,146.96,7.68728,12.6822,36.53,21.2144,3.79399,6.2038400000000005,27.7993,4.85397,8.31724,9.75475
FGFR4,2.77,5.34385,2.1019400000000004,0.8715860000000001,0.0,1.3025,0.634329,7.47289,0.210286,1.9194,0.0277075
FGL2,5.43,3.17752,5.94705,12.79,9.25424,13.2934,7.86297,5.11273,2.7094,16.6367,7.74637
FOXA1,110.25,0.742095,0.0,58.3932,0.345068,11.4149,4.48069,141.468,0.0,36.9889,0.7537020000000001
FOXC1,5.2,60.9547,5.94384,19.229,44.4172,27.8721,20.1979,1.44127,79.8081,21.2141,32.566
GABRP,84.39,23.4685,153.08700000000005,89.7943,24.0438,255.806,162.789,0.8925059999999999,1053.74,8.236239999999999,262.378
GALNT7,45.46,4.23746,5.65318,23.2172,18.0233,18.406,8.8823,27.0483,38.9402,18.1979,19.94
GBP1,110.3,208.943,47.5023,148.097,93.6811,180.147,181.968,105.467,94.8531,179.69400000000005,656.55
GCHFR,0.82,0.223262,0.108339,0.19197,0.90489,0.0,0.0,0.0,0.0,0.130833,0.2555
