,gene_short_name,V515-06187-A1,TNT-138,17-00099-0_S15_cufflinks,TNT-220,17-00143-5_S2Aligned_cufflinks,TNT-275,TNT-311,TNT-41,TNT-259,TNT-54,17-00118-2_S5Aligned_cufflinks
28,FABP7,2.25652,3.49154,0.0870091,2.41871,0.0,2.26773,0.259635,2.74168,9.44809,5.13367,0.428058
29,FASN,124.609,84.7906,50.4576,5.13523,264.185,2.44852,3.60214,9.58166,1.18795,14.5167,23.8917
30,FGFR4,2.32432,0.23882,0.908697,0.0,37.3663,0.464383,0.0657728,2.54454,0.335385,0.111696,1.08178
31,FGL2,2.48121,8.12581,5.3003,13.1522,0.907804,6.60571,6.20109,5.03298,6.70472,14.4419,3.54424
32,FOXA1,1.38574,0.90897,1.55697,2.55031,143.36,2.06513,0.938145,0.137919,0.319283,14.8548,90.0389
33,FOXC1,9.10755,22.5072,26.2312,14.558,3.12932,35.8189,33.2057,29.7138,3.57756,10.7698,15.4442
34,GABRP,8.66089,866.449,7.99554,204.752,22.4545,2.98012,590.01,693.341,740.411,10.0879,123.86
35,GALNT7,12.4003,6.7878,22.437,18.5998,59.9791,25.0354,14.3397,14.8009,9.15928,29.2673,17.0883
36,GBP1,41.394,235.575,69.2423,79.1625,23.1936,129.284,62.836,198.987,218.737,112.329,50.1795
37,GCHFR,0.422531,0.115251,0.963942,0.0,0.606169,0.0,0.0,1.48478,0.0,0.0,0.0
38,GPR87,0.951488,0.255178,0.738929,8.70819,0.0,1.75632,31.4702,1.23257,7.69994,0.134264,1.69062
39,GZMB,1.4986,1.47182,3.81677,29.3709,2.22425,23.4412,2.90159,2.83215,32.7245,22.9207,0.0
40,HGD,4.21735,1.58196,1.41826,1.22995,12.1696,0.400065,0.233995,2.83641,5.68914,9.23906,0.460552
