,gene_short_name,V515-06187-A1,TNT-132,17-00124-3_S12Aligned_cufflinks,TNT-44,TNT-73,TNT-53,TNT-296,17-00112-1_S7_cufflinks,TNT-231,TNT-92,TNT-6
55,KRT14,118.371,18.8049,11.6942,92.8815,13.3212,0.707408,0.113856,148.933,2.55607,15.2829,0.270551
56,KRT16,91.0343,2.54488,48.806,149.575,6.70262,18.87,1.69401,106.581,1.04947,74.7677,2.04024
57,KRT17,105.347,15.6965,91.1917,173.196,48.2962,16.6569,0.0,1.45916,55.7271,130.131,0.836907
58,KRT6A,54.2242,0.0533936,334.97,57.7713,77.6605,17.2934,23.9963,2.22255,386.178,2.8535,1.06124
59,KRT6B,86.6584,0.838378,105.533,33.1355,63.2006,35.8075,0.169457,6.2199,18.7064,9.26859,1.186
60,KYNU,14.7879,145.011,2.09661,9.04136,9.55879,16.0255,9.53512,2.99107,78.1365,12.4711,243.128
61,LBP,0.573258,5.49965,0.496314,0.73285,0.0,2.55733,1.49229,0.158261,6.15042,0.143624,5.88067
62,LHFP,2.0952,3.70533,1.68337,5.4203,0.260677,0.0936955,0.252562,1.05402,1.33739,0.553532,4.06241
63,MFAP4,1.60954,19.215,4.52207,8.7876,2.133,1.21515,0.49814,0.217392,1.51408,4.86294,7.16868
64,MIA,21.0747,0.0,2.9892,13.4092,3.36169,8.06811,0.0,13.1502,0.0,21.7525,0.0
65,MID1,36.2366,22.0039,20.1044,18.9785,24.2977,10.9874,20.5392,33.329,82.5869,22.1864,8.78944
66,MYBL1,4.60362,9.64146,29.0565,42.4586,8.25261,145.508,10.5008,24.2743,2.33652,59.4487,1.94773
67,NEK2,17.1321,3.18495,9.19087,15.4104,54.6188,78.344,35.7655,15.7279,9.82627,6.27886,5.08988
68,NTN3,0.0235576,0.0,0.0,0.0,0.0,0.0499616,0.0,0.0624546,0.0,0.0,0.127498
69,OGN,1.27872,80.9535,1.29925,26.9847,28.6293,18.1887,29.086,2.06137,9.15397,38.5116,16.9313
70,PI3,0.0,0.0,0.0,0.0,15.2543,4.59305,0.0,0.384616,119.469,4.07739,0.0
71,PLEKHB1,14.583,0.0,2.66644,4.90876,0.340161,0.313393,2.82426,1.02114,0.0133431,1.19539,0.0
72,PMAIP1,1.62393,0.0,0.0,1.00094,2.34146,3.49543,1.76168,0.170902,9.53519,0.914623,0.52918
73,PSMB9,0.0,16.4014,47.0763,8.41277,5.68435,6.66335,26.9052,10.1796,24.8823,15.3154,7.20066
74,PTGDS,1.49063,6.72747,14.7771,4.86847,3.77751,0.588428,0.210943,0.737796,1.56648,1.74508,0.382259
75,RARRES3,10.7933,37.6985,45.9482,29.4438,10.8694,7.36159,7.02486,12.5541,119.425,21.3796,11.9073
76,RTP4,0.772275,3.84331,4.2497,0.707379,4.22076,2.73071,3.45682,0.44722,0.123359,3.1673,0.166381
77,S100A1,196.638,0.0,50.3418,16.0569,0.156149,28.8386,0.0,188.155,0.0,8.06103,0.182271
78,S100A7,6.57916,37.4403,31.581,5.847,9.12628,226.527,0.20705,0.0,376.721,9.78629,7.0736
79,S100A8,3.49996,74.959,0.0,5.58615,5.53856,44.2431,6.76212,0.0,372.79,17.065,0.659167
80,SCRG1,23.222,0.0,0.0,8.82788,2.2307,6.45002,2.43223,0.73371,0.0,0.673348,0.367952
81,SEMA3C,89.189,24.1565,20.1514,55.7138,15.7635,8.49986,4.72316,11.1491,97.5067,67.1468,22.884
82,SERHL2,5.02658,9.62371,0.0,0.268983,1.2349,0.96246,0.739515,33.4034,3.99712,1.47592,894.96
83,SFRP1,35.3095,3.43042,7.28486,12.8129,0.100459,17.0348,11.6134,20.9305,2.70922,20.5385,3.34294
84,SIDT1,0.909009,21.0521,30.0365,13.0942,3.01369,1.47696,1.30631,2.31862,8.15287,3.70809,29.5009
85,SOX10,3.84721,0.0750195,4.99757,1.10416,0.00900422,2.81897,0.0,7.67526,0.0,0.205921,0.120566
86,SPDEF,0.141878,4.62556,1.174,0.867882,0.0,0.0299376,0.0,3.70993,3.13514,0.113258,21.657
87,SPRR1B,0.0944781,0.0,23.7501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3745
88,SPTLC2,28.7351,15.6968,48.7606,29.1229,13.6311,25.3893,17.2495,50.6829,25.4481,34.9804,95.8327
89,SRPX,12.4869,7.88364,8.0311,14.3073,1.04663,1.37933,0.0834734,3.01482,2.24238,6.28365,3.8595
90,TCF7L1,11.751,2.52194,4.91668,8.50101,28.8742,23.572,11.2977,9.5899,5.53084,11.4878,4.03833
91,TFAP2B,1.18026,18.4351,0.0,2.00691,0.89359,0.612569,0.187122,0.508347,1.15365,1.46155,147.877
92,THBS4,8.67223,13.3943,37.7683,63.4373,4.65828,5.73771,7.62169,1.58262,10.1966,20.4333,37.4631
93,TNFAIP8,5.97248,58.0308,26.3933,29.6814,17.1811,18.9355,15.7102,10.0954,21.7562,27.0821,11.5332
94,TNFSF10,24.8142,32.1512,13.0099,31.8392,172.615,29.5446,38.096,4.87246,21.3015,52.0291,40.0102
95,TRIM68,7.67148,2.88826,2.84572,10.9883,1.01622,0.2459,6.33707,0.323584,2.10719,2.9636,13.4917
96,TSC22D3,7.24202,25.4171,5.4525,16.5943,8.0713,11.5905,7.56735,9.21764,8.55024,13.8093,41.1453
97,UBD,0.0,15.0962,10.425,7.67732,73.4598,146.91,189.131,0.0,79.92,81.9667,4.8e-35
98,UGT2B28,0.0,260.887,0.0,12.458,0.0132192,1.3952,10.9314,0.0,0.0,0.0313859,513.99
99,XBP1,26.3139,90.569,31.529,57.6598,62.3238,37.965,27.0571,135.78,187.4,44.0054,199.648
100,ZCCHC24,0.75321,2.47759,3.48435,3.90767,0.534347,0.0592135,0.0278627,0.520299,0.0315651,0.674429,2.6067
