,gene_short_name,V515-06187-A1,TNT-8,17-00121-8_S12_cufflinks,TNT-141,TNT-288,17-00258-5_S5Aligned_cufflinks,TNT-239,TNT-321,TNT-293,TNT-3,TNT-132
57,KRT17,105.347,13.2012,1050.05,3.52294,62.891,98.3899,34.4338,0.230032,0.10699,1.86e-28,15.6965
58,KRT6A,54.2242,16.528,159.842,20.8774,15.5285,74.7498,82.8246,0.310825,1.64438,0.0,0.0533936
59,KRT6B,86.6584,5.93221,109.401,0.0228997,6.06978,53.5423,139.554,0.199049,0.044044,0.160932,0.838378
60,KYNU,14.7879,16.8208,10.171,11.4561,3.78312,9.58681,23.0941,4.23887,31.2463,17.6823,145.011
61,LBP,0.573258,1.17723,0.029159,0.403369,0.935546,0.358738,3.42086,0.292255,4.93654,0.410553,5.49965
62,LHFP,2.0952,0.136171,5.71544,0.261223,1.93824,2.79094,0.784121,0.108138,0.488182,1.13794,3.70533
63,MFAP4,1.60954,6.52457,25.4246,16.8245,2.09456,10.5279,3.85388,0.0,0.652204,2.50834,19.215
64,MIA,21.0747,34.1576,20.5634,0.0,26.9481,14.3733,38.436,2.7576,0.51859,0.376771,0.0
65,MID1,36.2366,24.2185,19.6636,5.32941,51.7699,12.8176,27.8837,7.13102,21.0676,57.9088,22.0039
66,MYBL1,4.60362,376.286,2.93888,1.07033,21.9376,40.252,10.6215,16.0403,23.7944,10.228,9.64146
67,NEK2,17.1321,14.7718,0.954536,12.3271,23.2893,14.2971,24.1101,22.3191,25.7407,11.9278,3.18495
68,NTN3,0.0235576,0.217783,0.115061,0.0,0.0,0.0294898,0.0,0.0576667,0.0,0.0,0.0
69,OGN,1.27872,20.2289,59.6459,26.7541,146.24,4.57913,4.3811,21.7832,19.9502,42.6224,80.9535
70,PI3,0.0,0.0,4.09301,0.0,0.942434,0.0,0.0,1.18232,0.630875,0.0,0.0
71,PLEKHB1,14.583,3.62724,1.97379,0.0,0.805091,13.993,1.56048,0.24112,0.13943,0.0,0.0
72,PMAIP1,1.62393,1.17994,0.931723,13.7808,3.00845,2.15123,4.33091,5.21404,0.839744,2.36542,0.0
73,PSMB9,0.0,4.06649,0.0,4.59655,13.613,0.0,22.3266,10.169,8.91372,8.96825,16.4014
74,PTGDS,1.49063,0.848852,21.2047,0.0,1.4365,7.08018,14.9539,0.17016,0.314559,3.9356,6.72747
75,RARRES3,10.7933,8.06708,41.5227,51.7933,17.6638,23.5313,115.305,9.3398,43.7136,0.382705,37.6985
76,RTP4,0.772275,2.07602,0.450242,1.13918,2.6593,3.08024,2.47434,0.975912,2.4733,1.10019,3.84331
77,S100A1,196.638,31.9064,7.33411,0.0,22.6423,179.938,6.14099,0.0,0.361616,1.16293,0.0
78,S100A7,6.57916,3.72373,0.154637,19.2989,0.0,0.361024,7.22335,0.0,6.68707,0.0,37.4403
79,S100A8,3.49996,0.356233,4.58775,3.4862,1.07561,2.18289,10.8895,0.865534,2.92903,0.998749,74.959
80,SCRG1,23.222,53.977,0.0372818,0.0,6.28012,5.63925,0.616513,2.90619,1.0085,0.417468,0.0
81,SEMA3C,89.189,22.714,122.44,156.839,24.9641,11.4289,63.8822,5.44746,25.0484,11.8076,24.1565
82,SERHL2,5.02658,16.1385,22.6899,3.32934,5.57275,14.0748,5.63717,0.718039,71.7846,3.53357,9.62371
83,SFRP1,35.3095,42.6241,22.2943,1.24034,35.9048,20.2949,15.3376,11.2555,0.0869003,0.159813,3.43042
84,SIDT1,0.909009,0.644053,9.90997,72.2701,0.292844,6.00681,14.1793,2.17142,19.8668,0.0,21.0521
85,SOX10,3.84721,1.87999,5.7557,2.96958,2.0321,10.7546,0.45138,1.45691,0.0,0.0,0.0750195
86,SPDEF,0.141878,0.869403,3.26226,1.04922,0.191122,0.68243,0.381323,0.0,5.743,0.0,4.62556
87,SPRR1B,0.0944781,0.0,0.109718,0.0,0.0,0.0,1.77931,0.0,0.0,0.0,0.0
88,SPTLC2,28.7351,27.8543,47.5721,39.1107,37.3837,36.547,75.5368,12.506,165.094,34.0779,15.6968
89,SRPX,12.4869,3.72588,14.9014,2.33744,13.0041,3.4638,1.4964,1.2381,1.01191,5.38411,7.88364
90,TCF7L1,11.751,87.3457,18.4465,5.11118,13.6998,9.43708,6.582,15.7481,2.28561,3.12443,2.52194
91,TFAP2B,1.18026,2.28522,5.71247,5.01163,1.27913,0.438146,1.99583,0.0,93.3454,0.0,18.4351
92,THBS4,8.67223,21.1983,2.38517,63.14,28.9139,5.44268,5.87345,20.2648,5.02284,0.079968,13.3943
93,TNFAIP8,5.97248,3.41071,9.13379,12.9335,21.5253,14.6041,134.384,25.2009,9.34912,20.1621,58.0308
94,TNFSF10,24.8142,14.0586,39.5965,72.8703,12.1125,16.7985,70.8998,16.3129,83.9819,5.43364,32.1512
95,TRIM68,7.67148,5.83645,3.06494,0.048427,6.38965,3.20251,2.42572,0.240721,2.45632,2.86079,2.88826
96,TSC22D3,7.24202,9.52151,52.072,3.74531,20.7125,11.6497,7.86074,0.752439,10.5057,3.62291,25.4171
97,UBD,0.0,6.70224,0.0,3.378,5.42e-51,0.0,46.9344,41.4485,3.78e-11,1.89398,15.0962
98,UGT2B28,0.0,8.20575,2.56628,0.0,0.678299,0.0,0.364851,0.262825,0.0814354,0.0416066,260.887
99,XBP1,26.3139,28.7927,159.843,222.104,39.1318,61.1886,40.5142,23.6254,139.92,43.9749,90.569
100,ZCCHC24,0.75321,0.171518,1.65591,0.0,1.3042,1.27759,0.334794,0.411487,0.298602,1.21215,2.47759
