,gene_short_name,V515-06187-A1,17-00122-1_S1_cufflinks,TNT-182,TNT-139,17-00103-7_S3Aligned_cufflinks,TNT-209,TNT-57,TNT-111,TNT-283,TNT-123,17-00159-1_S1Aligned_cufflinks
0,ABCA8,1.07397,15.2547,5.738980000000001,4.2190199999999995,17.5334,5.75345,6.46901,14.8562,5.2258,4.65218,1.78272
1,ADRA2A,0.196819,1.06565,0.0891861,0.358636,1.10499,1.18075,0.408656,1.0391700000000001,0.0,0.11800999999999999,0.424612
2,AKAP12,3.7524300000000004,3.36502,13.2235,4.57451,7.264939999999999,5.17876,6.26016,15.7074,3.43169,3.7973199999999996,1.9295900000000001
3,ALDH3B2,34.613,19.7483,0.223333,4.68061,4.13598,5.1982800000000005,0.10081699999999999,575.453,2.4243200000000003,5.94829,6.39422
4,APOD,101.54799999999999,39.0799,108.309,1392.61,23.9471,12.3961,51.8919,10225.5,134.119,24.5266,18.7033
5,ART3,19.2103,0.0,39.255,83.5008,8.81953,1.0586,29.1496,0.17538499999999999,1.3833,4.06834,4.7039800000000005
6,ASPN,31.1651,22.2786,102.374,37.7036,75.8475,14.174000000000001,78.5235,130.499,148.766,24.7914,19.8562
7,AZGP1,64.9749,21.2686,87.2981,111.613,2.74417,10.708,118.51799999999999,1218.82,6.21353,99.2913,48.381
8,BLVRB,6.57613,2.08356,1.3189899999999999,1.9139400000000002,4.59856,0.623746,4.3314699999999995,7.4401,3.29221,2.18791,2.25105
9,C7,0.29143,16.0706,4.2449,5.49728,3.04093,31.5904,2.87842,2.59044,1.21194,0.429463,1.47221
10,CCL5,1.03708,0.0,9.13623,4.08448,0.0,9.20102,3.70974,1.97053,13.0437,2.78857,6.76955
11,CD36,36.5005,6.4267199999999995,31.6866,19.0127,25.8122,18.8618,21.4543,94.8575,37.5269,15.422,5.67052
