,gene_short_name,V515-06187-A1,17-00123-8_S16Aligned_cufflinks,17-00109-8_S14Aligned_cufflinks,TNT-271,17-00116-9_S2Aligned_cufflinks,TNT-219,TNT-209,TNT-81,TNT-282,17-00252-2_S13Aligned_cufflinks,TNT-201
91,TFAP2B,1.18026,0.268108,3.19162,3.51015,7.85881,0.0,0.315354,0.25997,0.0384123,22.5216,0.514811
92,THBS4,8.67223,6.37277,1.54847,10.0297,10.1741,105.4,11.9925,1.31731,1.69832,15.5802,13.2923
93,TNFAIP8,5.97248,15.8607,24.3064,31.349,9.37209,43.0629,134.107,19.5884,18.8429,11.3768,10.9691
94,TNFSF10,24.8142,39.6627,17.6515,24.6704,43.2856,17.9517,74.1737,29.7736,273.724,41.5292,31.0437
95,TRIM68,7.67148,3.50305,0.409947,4.6321,3.76877,1.91721,0.417851,0.859196,2.04787,5.67096,0.516001
96,TSC22D3,7.24202,23.0082,6.55994,10.3469,24.8325,28.1163,6.98571,13.9806,8.62,17.9219,7.32937
97,UBD,0.0,0.0,0.319009,10.8372,0.0,7.89514,70.7467,51.0129,48.1235,0.0,3.42841
98,UGT2B28,0.0,0.053475,0.0,9.48852,0.934496,0.0,0.0,0.0,0.915341,1.4067,1.67524
99,XBP1,26.3139,49.1615,34.5791,22.5333,183.032,235.39,30.3003,57.2937,71.5768,392.314,37.2038
100,ZCCHC24,0.75321,1.25453,0.781416,0.361983,2.31948,2.29724,0.354545,0.298537,0.791422,1.66041,0.154573
