,gene_short_name,V515-06187-A1,TNT-201,TNT-33,TNT-186,TNT-167,TNT-218,17-00159-1_S1Aligned_cufflinks,TNT-14,17-00105-7_S10_cufflinks,17-00131-5_S8Aligned_cufflinks,TNT-24
24,DBI,412.371,624.9159999999999,238.327,100.988,722.9010000000001,52.9657,107.402,145.792,24.5286,19.1439,169.278
25,DEFB1,3.16262,2.52093,1.17739,0.0,0.0,0.263783,3.3835800000000003,2.8024400000000003,0.0,2.9607,2.59478
26,DHCR24,38.1374,19.4007,3.82499,3.76716,193.393,24.8616,27.97,86.3851,10.2971,7.69733,37.4488
27,DUSP5,2.6614299999999997,3.4079599999999997,5.034,1.65471,5.81495,2.54009,2.6006400000000003,6.16071,7.9805600000000005,1.1767,10.3833
28,FABP7,2.25652,0.46985200000000005,0.341104,6.08378,4.80272,0.101355,3.4121699999999997,1.2532,0.132922,0.609712,0.489068
29,FASN,124.609,22.2212,8.31724,21.0554,2436.27,3.9148099999999997,88.7778,69.7638,33.3583,141.922,41.3008
30,FGFR4,2.32432,0.47448199999999996,1.9194,0.5648810000000001,10.5636,1.14783,0.47645200000000004,0.547024,6.27721,0.555021,2.47027
31,FGL2,2.48121,2.43645,16.6367,3.35606,3.72151,6.97558,6.804760000000001,3.2164200000000003,1.65977,9.03785,8.67615
32,FOXA1,1.38574,3.7643400000000002,36.9889,0.0,343.30400000000003,0.06618439999999999,1.33065,0.205656,2.09953,0.399233,1.60243
33,FOXC1,9.10755,38.1223,21.2141,30.2613,0.867287,33.0458,35.2897,32.1182,8.20116,71.1802,88.3583
34,GABRP,8.66089,223.33,8.236239999999999,336.445,0.0719074,1786.59,225.11,841.158,25.1786,192.75900000000001,896.727
35,GALNT7,12.4003,8.396339999999999,18.1979,17.261,21.0465,15.9673,24.6473,7.97859,11.0325,13.0624,24.1949
36,GBP1,41.394,125.751,179.69400000000002,31.443,54.6539,121.512,275.592,144.463,291.445,226.399,317.85
37,GCHFR,0.42253100000000005,0.23903600000000003,0.130833,0.0,0.0,0.0,0.160495,0.0,0.0,0.589551,0.28047300000000003
38,GPR87,0.9514879999999999,8.07324,0.702407,0.0,0.0,1.34816,0.10430199999999999,0.9581959999999999,0.160558,1.2016200000000001,4.14233
39,GZMB,1.4986,2.32191,15.5177,1.2492299999999998,0.0,6.5088,4.56122,2.58473,1.21038,5.461040000000001,18.8047
40,HGD,4.21735,9.236989999999999,0.0,0.0,59.5357,0.947161,0.833944,0.5958399999999999,10.300999999999998,0.948775,3.29947
