,gene_short_name,V515-06187-A1,TNT-111,TNT-53,TNT-94,17-00174-6_S15Aligned_cufflinks,TNT-310,TNT-100,TNT-50,17-00122-1_S1_cufflinks,TNT-265,TNT-4
17,COL5A2,202.313,458.394,62.0196,26.9307,95.3652,217.037,89.4079,232.429,45.6436,8.16721,308.353
18,CRAT,3.09639,70.4712,4.58664,8.31426,5.54589,4.10859,2.41362,9.18802,3.73345,2.73679,14.7289
19,CROT,17.2031,61.6759,3.75997,7.72488,18.127,3.20186,6.30357,5.88813,34.0231,5.86815,47.6286
20,CXCL10,2.29941,3.96971,1027.76,20.6893,3.53341,111.717,240.759,15.6837,12.7818,56.437,39.4233
21,CXCL11,0.642556,0.353852,117.484,4.12924,0.954956,9.69977,44.6731,1.43911,1.42336,20.7628,8.87846
22,CXCL13,0.0413495,23.2391,13.8145,0.0,1.16539,12.3011,63.115,5.55664,12.3406,79.1886,46.0943
23,CYP4F8,0.0480191,10.0194,0.446875,0.0,1.4973,0.0,0.0,0.310565,0.0,0.134844,27.8697
24,DBI,412.371,701.686,341.228,186.812,69.2038,156.67,96.7272,139.829,19.3784,206.401,273.298
25,DEFB1,3.16262,0.0,1.69422,0.0,7.12312,1.00589,3.17559,10.9841,1.33079,5.6752,1.95276
26,DHCR24,38.1374,109.752,20.8399,5.51588,82.1604,31.9861,11.8349,61.7799,65.7614,38.6224,25.3035
27,DUSP5,2.66143,9.23302,4.52794,11.9441,2.09469,13.7116,5.35534,4.47715,3.47578,3.72196,9.61596
28,FABP7,2.25652,289.357,0.566084,234.221,0.0,1.21934,0.585031,0.0,0.0,0.0,1.97922
29,FASN,124.609,122.384,10.4043,12.7001,92.0659,3.16328,11.798,57.4616,97.7484,22.6256,69.4728
30,FGFR4,2.32432,8.91163,0.230451,0.0,0.56631,0.0814148,0.757059,1.32382,3.56694,0.794633,1.93565
31,FGL2,2.48121,2.79398,5.87532,4.01329,2.71377,4.93389,11.0687,5.51389,3.09946,6.59034,18.1586
32,FOXA1,1.38574,201.456,0.2382,52.9129,3.41172,1.50615,1.26925,1.90232,23.318,3.09199,44.0487
33,FOXC1,9.10755,3.58246,34.1132,8.84632,29.4622,11.1416,41.8014,39.9886,52.0178,34.8431,6.6412
34,GABRP,8.66089,9.12478,837.778,392.793,1.23011,187.597,358.421,23.6083,191.482,447.857,3.76132
35,GALNT7,12.4003,49.7457,12.0992,59.2443,11.8491,19.2626,29.8137,11.5386,29.3886,11.2769,29.7102
36,GBP1,41.394,45.8172,169.811,17.1528,135.247,338.003,388.829,71.5431,82.2882,268.497,117.684
37,GCHFR,0.422531,1.04278,0.0,0.0,1.3619,0.178939,0.313997,0.20549,1.22014,0.19162,0.344589
38,GPR87,0.951488,0.301862,0.657897,3.501,4.33496,3.60517,1.30861,4.06842,3.38113,0.251076,0.0
