,gene_short_name,V515-06187-A1,TNT-100,17-00141-7_S14Aligned_cufflinks,TNT-92,TNT-76,17-00118-2_S5Aligned_cufflinks,TNT-218,17-00132-8_S16Aligned_cufflinks,TNT-82,TNT-267,TNT-1
0,ABCA8,1.07397,10.2128,10.5345,32.1067,1.7120799999999998,24.4092,0.23111700000000002,19.4248,7.264660000000001,14.0161,47.3435
1,ADRA2A,0.196819,0.218344,1.99187,0.187864,0.216004,3.19406,1.2081600000000001,3.61611,0.27721599999999996,0.0,0.120636
2,AKAP12,3.7524300000000004,6.21779,12.7907,5.51587,4.07696,14.0568,2.32421,5.52166,3.91678,34.7771,4.00906
3,ALDH3B2,34.613,3.95048,3.54849,8.09628,1.20211,3.2972599999999996,16.6609,6.775060000000001,15.0004,0.0,8.46557
4,APOD,101.54799999999999,169.25099999999998,24.0673,227.12400000000002,226.99099999999999,185.233,3.9072,40.374,15.1454,0.187089,6.4374
5,ART3,19.2103,165.481,0.899191,1.03436,61.9652,0.0,42.4891,0.0,0.454395,26.3716,0.194101
6,ASPN,31.1651,26.1134,73.3324,108.54700000000001,61.5295,16.7672,8.27807,33.8587,23.1488,36.7956,38.4711
7,AZGP1,64.9749,6.8005,44.7696,23.496,279.97,72.8132,17.1262,12.8789,2.0150799999999998,5.04708,13.4994
8,BLVRB,6.57613,1.16798,3.11342,2.3271,2.58846,1.8396400000000002,1.33646,10.2189,1.51625,0.0,23.8841
9,C7,0.29143,3.11435,5.79552,5.15895,0.703238,24.8705,14.321,12.4255,1.10798,0.880913,0.277686
10,CCL5,1.03708,19.74,2.20958,5.3861,10.1325,3.56215,2.72617,0.0,1.19407,31.6815,5.85725
11,CD36,36.5005,37.6889,8.51482,13.668,9.871830000000001,119.60700000000001,5.77646,32.1853,5.65798,11.7456,12.6625
12,CD52,5.15236,134.336,3.2807800000000005,51.077,16.4339,2.24641,124.915,20.3585,7.702039999999999,198.71400000000003,28.6878
13,CDC20,19.1111,8.904589999999999,3.57694,2.62069,20.9927,0.0,6.84373,0.805591,20.8091,4.05045,10.419
