,gene_short_name,V515-06187-A1,17-00280-7_S4Aligned_cufflinks,TNT-76,TNT-204,TNT-310,TNT-259,17-00141-7_S14Aligned_cufflinks,TNT-16,TNT-33,TNT-139,17-00252-2_S13Aligned_cufflinks
0,ABCA8,1.07397,1.9610400000000001,1.7120799999999998,22.5552,1.50603,7.3788,10.5345,16.1221,42.1504,4.2190199999999995,10.1006
1,ADRA2A,0.196819,0.330945,0.216004,0.51488,0.0916352,0.062241399999999995,1.99187,1.7823,0.7035100000000001,0.358636,0.666199
2,AKAP12,3.7524300000000004,1.98968,4.07696,5.24104,5.4899,10.4078,12.7907,14.6167,6.5784,4.57451,3.59153
3,ALDH3B2,34.613,75.8959,1.20211,10.6186,18.7299,2.39888,3.54849,303.041,19.4297,4.68061,57.0737
4,APOD,101.54799999999999,25.2137,226.99099999999999,431.157,9.0727,16.1725,24.0673,3948.76,462.319,1392.61,2264.75
5,ART3,19.2103,0.025776499999999997,61.9652,0.0,0.270129,2.83927,0.899191,0.0,29.9479,83.5008,2.61983
6,ASPN,31.1651,12.2085,61.5295,25.8341,70.5823,59.7246,73.3324,169.588,23.2841,37.7036,17.5097
7,AZGP1,64.9749,140.03,279.97,91.8052,4.2314300000000005,0.0,44.7696,362.406,146.048,111.613,375.78
8,BLVRB,6.57613,4.51035,2.58846,5.31772,1.0593700000000001,1.7791299999999999,3.11342,6.560339999999999,3.32387,1.9139400000000002,9.26335
9,C7,0.29143,1.8111099999999998,0.703238,1.40697,2.8178799999999997,1.07913,5.79552,16.1138,16.7384,5.49728,11.5843
10,CCL5,1.03708,0.0,10.1325,10.1049,16.908,24.4902,2.20958,2.45249,55.5323,4.08448,0.0
11,CD36,36.5005,13.3628,9.871830000000001,78.1711,12.1829,36.2403,8.51482,33.7502,32.6821,19.0127,40.6657
12,CD52,5.15236,23.5318,16.4339,132.064,40.1669,178.9,3.2807800000000005,9.981489999999999,360.04699999999997,12.3884,19.3989
13,CDC20,19.1111,8.15715,20.9927,2.72803,24.5544,10.0606,3.57694,4.69409,5.45902,39.6781,2.81438
14,CHI3L1,52.4824,3.3229800000000003,11.3194,0.9157209999999999,23.7297,17.9288,49.6044,2.78629,5.50906,11.9292,2.7861
15,COL2A1,124.822,0.019504300000000002,8.18038,0.014582499999999998,0.467588,0.0,6.22864,0.0761304,0.0,14.4149,0.157048
16,COL5A1,145.37,44.028,128.055,23.136,116.302,40.4405,179.457,148.389,32.1906,75.3596,57.8154
17,COL5A2,202.313,82.8314,199.463,44.7471,217.037,44.153999999999996,139.583,246.925,45.924,97.3976,105.309
18,CRAT,3.09639,24.1691,7.599480000000001,8.49002,4.10859,4.1209,13.306,23.7683,3.40098,2.73225,30.4788
19,CROT,17.2031,15.8075,11.5114,12.995999999999999,3.20186,13.6541,11.8014,70.0792,8.39303,11.9831,37.0803
20,CXCL10,2.29941,50.6872,59.3069,65.778,111.71700000000001,384.48400000000004,1.77745,2.78132,101.54799999999999,66.1195,17.8862
21,CXCL11,0.642556,10.4707,14.2748,12.7703,9.69977,110.538,0.511637,0.439709,19.4311,28.2921,3.95835
22,CXCL13,0.0413495,11.7207,23.8366,12.2053,12.3011,627.493,0.10165,0.740487,85.5384,4.47169,5.9954
23,CYP4F8,0.048019099999999995,0.562419,0.0,0.254896,0.0,0.18496500000000002,0.0,1.66215,0.00161719,0.0,0.20556999999999997
24,DBI,412.371,128.964,80.9435,305.276,156.67,102.259,41.5496,229.267,238.327,272.91700000000003,141.197
25,DEFB1,3.16262,1.20338,0.967678,2.1574400000000002,1.00589,1.4857,0.9289649999999999,7.23493,1.17739,0.762547,0.207869
26,DHCR24,38.1374,57.3044,38.0718,9.13265,31.9861,27.5106,8.791030000000001,160.55,3.82499,18.4995,108.111
